type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,Dick Johnson Is Dead,Kirsten Johnson,2020,PG-13,Documentaries,90,
TV Show,Blood & Water,,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",,2
TV Show,Ganglands,Julien Leclercq,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",,1
TV Show,Jailbirds New Orleans,,2021,TV-MA,"Docuseries, Reality TV",,1
TV Show,Kota Factory,,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",,2
TV Show,Midnight Mass,Mike Flanagan,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",,1
Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",2021,PG,Children & Family Movies,91,
Movie,Sankofa,Haile Gerima,1993,TV-MA,"Dramas, Independent Movies, International Movies",125,
TV Show,The Great British Baking Show,Andy Devonshire,2021,TV-14,"British TV Shows, Reality TV",,9
Movie,The Starling,Theodore Melfi,2021,PG-13,"Comedies, Dramas",104,
TV Show,"Vendetta: Truth, Lies and The Mafia",,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",,1
TV Show,Bangkok Breaking,Kongkiat Komesiri,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",,1
Movie,Je Suis Karl,Christian Schwochow,2021,TV-MA,"Dramas, International Movies",127,
Movie,Confessions of an Invisible Girl,Bruno Garotti,2021,TV-PG,"Children & Family Movies, Comedies",91,
TV Show,Crime Stories: India Detectives,,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",,1
TV Show,Dear White People,,2021,TV-MA,"TV Comedies, TV Dramas",,4
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",2020,TV-MA,"Documentaries, International Movies",67,
TV Show,Falsa identidad,,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",,2
Movie,Intrusion,Adam Salky,2021,TV-14,Thrillers,94,
TV Show,Jaguar,,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",,1
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",,1
TV Show,Resurrection: Ertugrul,,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",,5
Movie,Avvai Shanmughi,K.S. Ravikumar,1996,TV-PG,"Comedies, International Movies",161,
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",2021,TV-Y,Children & Family Movies,61,
Movie,Jeans,S. Shankar,1998,TV-14,"Comedies, International Movies, Romantic Movies",166,
TV Show,Love on the Spectrum,,2021,TV-14,"Docuseries, International TV Shows, Reality TV",,2
Movie,Minsara Kanavu,Rajiv Menon,1997,TV-PG,"Comedies, International Movies, Music & Musicals",147,
Movie,Grown Ups,Dennis Dugan,2010,PG-13,Comedies,103,
Movie,Dark Skies,Scott Stewart,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",97,
Movie,Paranoia,Robert Luketic,2013,PG-13,Thrillers,106,
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",2021,TV-14,"Dramas, Independent Movies, International Movies",111,
TV Show,Chicago Party Aunt,,2021,TV-MA,TV Comedies,,1
TV Show,Sex Education,,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies",,3
TV Show,Squid Game,,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",,1
TV Show,Tayo and Little Wizards,,2020,TV-Y7,Kids' TV,,1
Movie,The Father Who Moves Mountains,Daniel Sandu,2021,TV-MA,"Dramas, International Movies, Thrillers",110,
Movie,The Stronghold,Cédric Jimenez,2021,TV-MA,"Action & Adventure, Dramas, International Movies",105,
TV Show,Angry Birds,,2018,TV-Y7,"Kids' TV, TV Comedies",,1
Movie,Birth of the Dragon,George Nolfi,2017,PG-13,"Action & Adventure, Dramas",96,
TV Show,Chhota Bheem,,2021,TV-Y7,Kids' TV,,3
TV Show,He-Man and the Masters of the Universe,,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",,1
Movie,Jaws,Steven Spielberg,1975,PG,"Action & Adventure, Classic Movies, Dramas",124,
Movie,Jaws 2,Jeannot Szwarc,1978,PG,"Dramas, Horror Movies, Thrillers",116,
Movie,Jaws 3,Joe Alves,1983,PG,"Action & Adventure, Horror Movies, Thrillers",98,
Movie,Jaws: The Revenge,Joseph Sargent,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",91,
Movie,My Heroes Were Cowboys,Tyler Greco,2021,PG,Documentaries,23,
Movie,Safe House,Daniel Espinosa,2012,R,Action & Adventure,115,
TV Show,The Smart Money Woman,Bunmi Ajakaiye,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",,1
Movie,Training Day,Antoine Fuqua,2001,R,"Dramas, Thrillers",122,
TV Show,Castle and Castle,,2021,TV-MA,"International TV Shows, TV Dramas",,2
TV Show,Dharmakshetra,,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",,1
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,2002,TV-14,"Action & Adventure, Anime Features, International Movies",99,
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,2003,TV-14,"Action & Adventure, Anime Features, International Movies",99,
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",88,
